label,fake,bias,response
1.0,0.24273728,0.27745694,unsure
0.0,0.02791579,0.30874586,bias
1.0,0.26954564,0.26878628,impartial
1.0,0.3601102,0.34603316,bias
0.0,0.47350785,0.35670328,bias
1.0,0.15167435,0.2767786,bias
0.0,0.21662506,0.24152546,impartial
0.0,0.25051728,0.30728376,bias
1.0,0.10981496,0.3310325,bias
1.0,0.1852943,0.2758598,bias
1.0,0.1963755,0.27751124,impartial
0.0,0.4166565,0.40918997,bias
1.0,0.2282034,0.31536353,bias
0.0,0.18752903,0.2923704,bias
0.0,0.53622204,0.4615397,bias
1.0,0.07700597,0.4429145,bias
0.0,0.54526824,0.23759599,impartial
1.0,0.13951789,0.17090364,unsure
0.0,0.14080273,0.17333929,bias
1.0,0.13303298,0.37288362,bias
0.0,0.17605622,0.41026846,impartial
0.0,0.22281735,0.41403082,bias
1.0,0.15923694,0.31114274,bias
0.0,0.13857694,0.1812232,bias
0.0,0.53469443,0.3501881,bias
0.0,0.3879494,0.15123492,bias
1.0,0.33766398,0.35764673,bias
0.0,0.2594001,0.31111825,impartial
1.0,0.3869477,0.46286386,bias
0.0,0.143313,0.3333193,bias
0.0,0.16857691,0.25068066,impartial
1.0,0.17776339,0.1890058,impartial
0.0,0.16042742,0.23366219,impartial
0.0,0.20847481,0.33347693,impartial
1.0,0.47003803,0.35754815,bias
1.0,0.09060753,0.20073712,impartial
0.0,0.5418248,0.37630752,unsure
1.0,0.47871298,0.44844958,bias
1.0,0.0975448,0.2651024,bias
1.0,0.26634705,0.2823641,bias
1.0,0.6722041,0.45523888,bias
1.0,0.3794793,0.43765202,impartial
0.0,0.2025013,0.18598332,bias
0.0,0.157409,0.3711533,impartial
1.0,0.08240609,0.2541946,bias
0.0,0.26704288,0.36656797,impartial
1.0,0.34764844,0.34277958,bias
0.0,0.1576732,0.22166291,bias
0.0,0.19300835,0.25303105,unsure
1.0,0.39462572,0.28672615,bias
1.0,0.12152547,0.27156878,bias
0.0,0.36393777,0.44793057,bias
0.0,0.12717119,0.26179752,bias
0.0,0.19066906,0.41453883,bias
1.0,0.0,0.0,bias
1.0,0.2545232,0.398206,unsure
0.0,0.3253063,0.36659873,bias
1.0,0.3112094,0.37627426,bias
1.0,0.39350522,0.50636554,bias
0.0,0.16735257,0.2520118,bias
1.0,0.12020185,0.2126221,bias
0.0,0.13462771,0.38824755,unsure
0.0,0.29769024,0.15152666,unsure
0.0,0.16974044,0.2626389,impartial
1.0,0.65407217,0.5096638,bias
0.0,0.35809246,0.23860487,impartial
0.0,0.27846825,0.27549738,bias
1.0,0.10584176,0.3557781,bias
0.0,0.09000458,0.26123458,unsure
1.0,0.26313144,0.37634066,unsure
0.0,0.13658167,0.12057007,unsure
1.0,0.164742,0.3351714,bias
0.0,0.3307516,0.3242167,impartial
0.0,0.4525074,0.2662643,unsure
0.0,0.28724542,0.37334755,impartial
0.0,0.50161225,0.47363648,bias
0.0,0.08683385,0.26690143,impartial
0.0,0.19694549,0.28039452,bias
1.0,0.83024573,0.49968946,bias
1.0,0.17099363,0.3189734,impartial
1.0,0.5396248,0.4006294,bias
1.0,0.19391194,0.5429968,bias
0.0,0.13667832,0.24678604,impartial
0.0,0.2345611,0.2254794,impartial
0.0,0.3055414,0.24717323,bias
1.0,0.3804671,0.4520822,bias
1.0,0.08330518,0.20275506,impartial
0.0,0.33097082,0.28839508,bias
1.0,0.35946476,0.14581914,unsure
1.0,0.37086332,0.41198635,bias
0.0,0.026667235,0.29857978,unsure
1.0,0.37271884,0.30699304,bias
1.0,0.3351534,0.16719635,bias
1.0,0.13069753,0.2253281,bias
1.0,0.41999415,0.41358298,impartial
0.0,0.77188027,0.25189394,unsure
1.0,0.16226004,0.27056503,bias
0.0,0.18395811,0.2400898,impartial
1.0,0.24059732,0.3774902,bias
1.0,0.21289025,0.394539,bias
0.0,0.48890054,0.39003408,impartial
0.0,0.1303256,0.29835114,bias
0.0,0.07908235,0.36946762,bias
1.0,0.31929111,0.27461818,bias
1.0,0.46904796,0.44373757,bias
1.0,0.17397712,0.27581853,bias
1.0,0.1776697,0.27733284,bias
0.0,0.2796157,0.24305306,impartial
0.0,0.32023218,0.15366754,impartial
0.0,0.07396586,0.13490039,unsure
0.0,0.34233707,0.3846944,unsure
1.0,0.0,0.0,bias
1.0,0.2869056,0.43425214,bias
0.0,0.277937,0.41823766,unsure
1.0,0.28573376,0.35320577,bias
1.0,0.0,0.0,bias
0.0,0.13913052,0.24542439,bias
1.0,0.363395,0.32546145,bias
1.0,0.15103686,0.2742741,bias
0.0,0.10017596,0.13816844,impartial
0.0,0.319177,0.16778558,unsure
0.0,0.2838674,0.33320773,bias
1.0,0.0,0.0,unsure
0.0,0.20167975,0.31201425,bias
0.0,0.3785882,0.3059764,unsure
1.0,0.14821494,0.33048132,impartial
1.0,0.6713152,0.47209448,impartial
1.0,0.3653756,0.3133741,impartial
1.0,0.0,0.0,bias
1.0,0.27549797,0.28682917,bias
1.0,0.45362645,0.341327,bias
1.0,0.49384648,0.4916051,bias
1.0,0.24969833,0.22364739,bias
0.0,0.26895478,0.24146815,impartial
0.0,0.085004106,0.3355487,bias
1.0,0.33237487,0.1386526,bias
1.0,0.0,0.0,bias
1.0,0.11022206,0.26891014,bias
0.0,0.56414616,0.3597464,bias
1.0,0.3141572,0.3021005,bias
1.0,0.10351194,0.1950571,impartial
1.0,0.4117128,0.3491703,bias
0.0,0.033087626,0.3883313,impartial
1.0,0.12357604,0.14777784,bias
0.0,0.09878501,0.18475685,bias
1.0,0.29087198,0.46572828,bias
0.0,0.23795189,0.32610145,impartial
